customerNumber,customerName,contactFirstName,contactLastName,phone,addressLine1,city,state,country,creditLimit,customerSegment
42,Eva Brown,Eva,Brown,+212-789-563298,142 Rue de Example,Oujda,,Morocco,22818.84,Enterprise
43,Mohamed Brown,Mohamed,Brown,+212-739-137778,95 Rue de Example,Fes,,Italy,25925.38,Consumer
44,Alice Garcia,Alice,Garcia,+212-653-815198,64 Rue de Example,Rabat,,UK,156133.19,Enterprise
45,Hassan ElAmrani,Hassan,ElAmrani,+212-791-262060,61 Rue de Example,Fes,,Spain,176342.53,Consumer
46,Mohamed Garcia,Mohamed,Garcia,+212-705-941204,172 Rue de Example,Tangier,,Germany,32259.97,Small Business
47,Hassan Smith,Hassan,Smith,+212-720-333238,52 Rue de Example,Sale,,UK,61385.58,Small Business
48,David Martin,David,Martin,+212-606-792094,50 Rue de Example,Oujda,,UK,56081.31,Consumer
49,Eva Garcia,Eva,Garcia,+212-764-634150,103 Rue de Example,Agadir,,Morocco,23510.68,Partner
50,Carla ElAmrani,Carla,ElAmrani,+212-667-140115,28 Rue de Example,Oujda,,UK,145844.74,Consumer
51,Khadija Kamal,Khadija,Kamal,+212-629-503906,148 Rue de Example,Tangier,,Germany,9355.11,Consumer
52,John Kamal,John,Kamal,+212-775-854377,190 Rue de Example,Tangier,,UK,86543.83,Enterprise
53,Fatima ElAmrani,Fatima,ElAmrani,+212-680-795612,32 Rue de Example,Marrakech,,Germany,133545.13,Consumer
54,Mohamed Nguyen,Mohamed,Nguyen,+212-741-233470,50 Rue de Example,Oujda,,Italy,135624.93,Enterprise
55,Khadija ElAmrani,Khadija,ElAmrani,+212-677-525800,141 Rue de Example,Casablanca,,Germany,57739.29,Consumer
56,Khadija ElAmrani,Khadija,ElAmrani,+212-767-437902,120 Rue de Example,Sale,,Portugal,135287.63,Consumer
57,Mohamed Brown,Mohamed,Brown,+212-768-188914,73 Rue de Example,Agadir,,France,163775.48,Small Business
58,Lina Nguyen,Lina,Nguyen,+212-657-945742,51 Rue de Example,Fes,,Morocco,9719.64,Partner
59,Khadija Jones,Khadija,Jones,+212-716-534572,162 Rue de Example,Tangier,,Italy,99128.25,Consumer
60,Lina Smith,Lina,Smith,+212-792-907451,28 Rue de Example,Oujda,,USA,35589.39,Partner
61,John Dubois,John,Dubois,+212-612-684482,64 Rue de Example,Rabat,,Portugal,27101.15,Consumer
62,John Kamal,John,Kamal,+212-752-432711,194 Rue de Example,Sale,,Italy,166198.55,Consumer
63,Carla Dubois,Carla,Dubois,+212-715-371782,193 Rue de Example,Tangier,,Germany,153279.83,Consumer
64,Lina Martin,Lina,Martin,+212-670-561239,20 Rue de Example,Marrakech,,USA,54707.16,Consumer
65,John Jones,John,Jones,+212-635-258157,60 Rue de Example,Oujda,,Spain,141430.62,Consumer
66,Hassan Garcia,Hassan,Garcia,+212-738-588557,107 Rue de Example,Casablanca,,USA,166661.79,Consumer
67,Khadija Smith,Khadija,Smith,+212-795-703655,98 Rue de Example,Sale,,Morocco,188576.96,Consumer
68,Hassan Hernandez,Hassan,Hernandez,+212-737-883826,189 Rue de Example,Tangier,,Portugal,44274.62,Consumer
69,Alice Hernandez,Alice,Hernandez,+212-686-801364,174 Rue de Example,Oujda,,Spain,168180.88,Enterprise
70,Khadija Kamal,Khadija,Kamal,+212-606-513160,152 Rue de Example,Casablanca,,France,128728.55,Consumer
71,Imane Brown,Imane,Brown,+212-612-372793,98 Rue de Example,Agadir,,USA,91212.52,Consumer
72,Hassan Nguyen,Hassan,Nguyen,+212-792-972335,108 Rue de Example,Marrakech,,France,94326.21,Small Business
73,Alice Garcia,Alice,Garcia,+212-657-781725,18 Rue de Example,Casablanca,,Morocco,189947.54,Consumer
74,Alice ElAmrani,Alice,ElAmrani,+212-639-350132,33 Rue de Example,Sale,,France,113011.93,Consumer
75,Mohamed Nguyen,Mohamed,Nguyen,+212-796-486814,43 Rue de Example,Rabat,,Spain,192961.79,Consumer
76,Alice Nguyen,Alice,Nguyen,+212-747-810250,97 Rue de Example,Oujda,,USA,15661.3,Small Business
77,Lina Martin,Lina,Martin,+212-626-831059,198 Rue de Example,Marrakech,,France,159347.33,Consumer
78,Alice Garcia,Alice,Garcia,+212-736-549186,170 Rue de Example,Agadir,,France,101439.18,Consumer
79,Hassan Dubois,Hassan,Dubois,+212-627-554582,93 Rue de Example,Sale,,Spain,87379.69,Small Business
80,Lina Nguyen,Lina,Nguyen,+212-757-947458,138 Rue de Example,Sale,,Portugal,87397.11,Small Business
81,Eva Garcia,Eva,Garcia,+212-662-971084,23 Rue de Example,Marrakech,,Portugal,49150.76,Consumer
82,Khadija Hernandez,Khadija,Hernandez,+212-686-130094,127 Rue de Example,Agadir,,Spain,97766.21,Consumer
83,Eva Garcia,Eva,Garcia,+212-671-725113,180 Rue de Example,Marrakech,,Morocco,103567.14,Consumer
84,David Hernandez,David,Hernandez,+212-725-682144,195 Rue de Example,Tangier,,Portugal,129357.63,Consumer
85,Alice Jones,Alice,Jones,+212-675-332360,104 Rue de Example,Tangier,,Germany,132960.02,Consumer
86,John Kamal,John,Kamal,+212-688-546173,191 Rue de Example,Agadir,,UK,140719.56,Consumer
87,Eva Martin,Eva,Martin,+212-630-856321,50 Rue de Example,Agadir,,France,148704.77,Partner
88,Mohamed Brown,Mohamed,Brown,+212-649-326895,190 Rue de Example,Sale,,Germany,145054.71,Partner
89,John ElAmrani,John,ElAmrani,+212-672-205409,50 Rue de Example,Marrakech,,USA,72495.77,Consumer
90,Mohamed Kamal,Mohamed,Kamal,+212-632-387636,12 Rue de Example,Casablanca,,Germany,139634.77,Consumer
91,Imane Jones,Imane,Jones,+212-603-701949,73 Rue de Example,Sale,,Portugal,88373.53,Consumer
92,Alice Nguyen,Alice,Nguyen,+212-722-219629,17 Rue de Example,Oujda,,Portugal,15279.39,Small Business
93,Alice Brown,Alice,Brown,+212-638-950544,145 Rue de Example,Marrakech,,France,198786.67,Consumer
94,Hassan ElAmrani,Hassan,ElAmrani,+212-752-929151,159 Rue de Example,Tangier,,Italy,90377.64,Consumer
95,Khadija Hernandez,Khadija,Hernandez,+212-678-696251,159 Rue de Example,Casablanca,,France,189544.24,Consumer
96,David Nguyen,David,Nguyen,+212-769-185131,41 Rue de Example,Tangier,,Spain,110622.45,Consumer
97,Hassan Dubois,Hassan,Dubois,+212-776-722656,121 Rue de Example,Marrakech,,Morocco,46679.51,Small Business
98,Mohamed Dubois,Mohamed,Dubois,+212-618-820775,60 Rue de Example,Marrakech,,USA,85315.22,Consumer
99,Lina Brown,Lina,Brown,+212-668-966785,37 Rue de Example,Rabat,,Morocco,33601.6,Consumer
100,Mohamed ElAmrani,Mohamed,ElAmrani,+212-673-560485,32 Rue de Example,Sale,,Germany,140096.87,Enterprise
101,John Kamal,John,Kamal,+212-726-559023,21 Rue de Example,Casablanca,,Italy,147039.52,Small Business
102,Alice Jones,Alice,Jones,+212-658-807053,148 Rue de Example,Casablanca,,Germany,115461.27,Small Business
103,Carla Dubois,Carla,Dubois,+212-732-783157,114 Rue de Example,Marrakech,,Spain,199390.62,Consumer
104,Imane Jones,Imane,Jones,+212-720-464863,105 Rue de Example,Agadir,,UK,134191.64,Enterprise
105,Fatima Hernandez,Fatima,Hernandez,+212-777-619536,74 Rue de Example,Oujda,,Morocco,91237.77,Consumer
106,Fatima Jones,Fatima,Jones,+212-797-523808,132 Rue de Example,Casablanca,,Portugal,82942.89,Consumer
107,Fatima ElAmrani,Fatima,ElAmrani,+212-793-622707,161 Rue de Example,Sale,,Morocco,41109.87,Consumer
108,Eva Dubois,Eva,Dubois,+212-778-608257,32 Rue de Example,Casablanca,,USA,142101.67,Consumer
109,Alice Kamal,Alice,Kamal,+212-704-197736,58 Rue de Example,Rabat,,Portugal,189438.62,Small Business
110,Carla Dubois,Carla,Dubois,+212-783-406039,131 Rue de Example,Marrakech,,Italy,167027.43,Partner
111,David Dubois,David,Dubois,+212-741-251668,99 Rue de Example,Tangier,,Spain,172873.37,Consumer
112,Hassan Garcia,Hassan,Garcia,+212-729-380150,1 Rue de Example,Marrakech,,Germany,167576.45,Consumer
113,Lina Dubois,Lina,Dubois,+212-638-568238,138 Rue de Example,Sale,,UK,66821.77,Small Business
114,Hassan Dubois,Hassan,Dubois,+212-682-297816,179 Rue de Example,Tangier,,Italy,47095.71,Small Business
115,Alice Garcia,Alice,Garcia,+212-790-595951,181 Rue de Example,Oujda,,Italy,197688.59,Small Business
116,Lina Brown,Lina,Brown,+212-726-138817,33 Rue de Example,Agadir,,France,174900.98,Consumer
117,John Dubois,John,Dubois,+212-603-857537,37 Rue de Example,Oujda,,Spain,15428.24,Small Business
118,Eva Garcia,Eva,Garcia,+212-759-826353,102 Rue de Example,Rabat,,UK,170542.1,Enterprise
119,Hassan Garcia,Hassan,Garcia,+212-760-853629,195 Rue de Example,Sale,,Morocco,123683.16,Consumer
120,Lina Nguyen,Lina,Nguyen,+212-658-883041,24 Rue de Example,Oujda,,France,152193.75,Small Business
121,Bob Dubois,Bob,Dubois,+212-642-827712,77 Rue de Example,Casablanca,,Morocco,65212.75,Consumer
122,Fatima Garcia,Fatima,Garcia,+212-710-252640,63 Rue de Example,Oujda,,Spain,34411.74,Consumer
123,Hassan ElAmrani,Hassan,ElAmrani,+212-774-352528,128 Rue de Example,Fes,,USA,92499.41,Consumer
124,Eva Smith,Eva,Smith,+212-719-401603,174 Rue de Example,Fes,,France,88625.09,Consumer
125,Khadija Nguyen,Khadija,Nguyen,+212-763-544920,177 Rue de Example,Marrakech,,Portugal,169138.13,Consumer
126,Hassan Dubois,Hassan,Dubois,+212-627-348728,98 Rue de Example,Agadir,,Germany,198542.06,Consumer
127,Lina Hernandez,Lina,Hernandez,+212-670-108491,145 Rue de Example,Casablanca,,Portugal,166651.36,Enterprise
128,David ElAmrani,David,ElAmrani,+212-690-329642,163 Rue de Example,Tangier,,Germany,135714.01,Small Business
129,Lina Brown,Lina,Brown,+212-760-201883,161 Rue de Example,Casablanca,,Germany,157827.79,Consumer
130,Fatima Brown,Fatima,Brown,+212-623-409445,84 Rue de Example,Oujda,,Spain,40558.56,Small Business
131,Fatima Kamal,Fatima,Kamal,+212-728-385765,43 Rue de Example,Marrakech,,Portugal,193493.12,Consumer
132,Fatima Jones,Fatima,Jones,+212-719-178957,37 Rue de Example,Tangier,,Italy,193470.31,Small Business
133,Fatima Jones,Fatima,Jones,+212-701-114594,68 Rue de Example,Rabat,,Portugal,74032.84,Small Business
134,Eva ElAmrani,Eva,ElAmrani,+212-697-962367,164 Rue de Example,Agadir,,France,135129.89,Consumer
135,Khadija Kamal,Khadija,Kamal,+212-683-739717,57 Rue de Example,Rabat,,Portugal,181922.83,Consumer
136,Hassan Jones,Hassan,Jones,+212-635-147549,10 Rue de Example,Marrakech,,Portugal,23666.04,Consumer
137,John Brown,John,Brown,+212-699-575679,95 Rue de Example,Oujda,,Spain,177140.05,Small Business
138,Imane ElAmrani,Imane,ElAmrani,+212-704-393328,9 Rue de Example,Agadir,,USA,88954.93,Partner
139,Fatima Jones,Fatima,Jones,+212-775-485178,140 Rue de Example,Agadir,,Morocco,79928.86,Consumer
140,Bob Dubois,Bob,Dubois,+212-623-794963,55 Rue de Example,Casablanca,,Morocco,157465.52,Consumer
141,Carla ElAmrani,Carla,ElAmrani,+212-652-171942,196 Rue de Example,Tangier,,USA,162704.07,Consumer
142,Carla ElAmrani,Carla,ElAmrani,+212-600-390743,38 Rue de Example,Fes,,Germany,159803.51,Consumer
143,Alice Brown,Alice,Brown,+212-603-475644,61 Rue de Example,Agadir,,Morocco,35262.12,Consumer
144,Mohamed Hernandez,Mohamed,Hernandez,+212-734-219169,191 Rue de Example,Rabat,,Portugal,89930.91,Consumer
145,Khadija Jones,Khadija,Jones,+212-715-628313,57 Rue de Example,Casablanca,,Germany,91879.48,Partner
146,Alice Dubois,Alice,Dubois,+212-702-546980,176 Rue de Example,Rabat,,Portugal,142624.06,Consumer
147,Bob Garcia,Bob,Garcia,+212-755-255539,17 Rue de Example,Fes,,Germany,125051.34,Consumer
148,Mohamed Garcia,Mohamed,Garcia,+212-697-726410,136 Rue de Example,Marrakech,,Portugal,101357.44,Consumer
149,Mohamed Jones,Mohamed,Jones,+212-767-782535,197 Rue de Example,Tangier,,Italy,90585.21,Consumer
150,Fatima Dubois,Fatima,Dubois,+212-702-536196,187 Rue de Example,Rabat,,UK,85639.42,Small Business
151,Fatima Brown,Fatima,Brown,+212-775-597305,18 Rue de Example,Rabat,,France,19099.41,Consumer
152,Mohamed Garcia,Mohamed,Garcia,+212-633-683397,16 Rue de Example,Agadir,,France,82456.32,Enterprise
153,Hassan Smith,Hassan,Smith,+212-673-729575,80 Rue de Example,Agadir,,France,115794.74,Consumer
154,Lina Dubois,Lina,Dubois,+212-657-988432,28 Rue de Example,Agadir,,UK,23419.62,Consumer
155,David Hernandez,David,Hernandez,+212-743-904711,160 Rue de Example,Casablanca,,Germany,6276.16,Consumer
156,Eva Garcia,Eva,Garcia,+212-689-106402,47 Rue de Example,Fes,,Italy,14382.29,Small Business
157,Alice Jones,Alice,Jones,+212-791-656251,56 Rue de Example,Oujda,,Italy,91002.34,Consumer
158,Eva Garcia,Eva,Garcia,+212-798-695164,153 Rue de Example,Rabat,,Morocco,31538.19,Small Business
159,Alice Jones,Alice,Jones,+212-669-564637,170 Rue de Example,Oujda,,Portugal,121611.66,Consumer
160,David Kamal,David,Kamal,+212-629-461939,111 Rue de Example,Rabat,,Germany,135804.47,Consumer
161,John Nguyen,John,Nguyen,+212-611-331230,102 Rue de Example,Casablanca,,Morocco,41282.41,Enterprise
162,Carla Nguyen,Carla,Nguyen,+212-674-444061,31 Rue de Example,Casablanca,,Portugal,149529.32,Consumer
163,Hassan Kamal,Hassan,Kamal,+212-780-341288,129 Rue de Example,Agadir,,France,79715.7,Small Business
164,Hassan Smith,Hassan,Smith,+212-717-181644,81 Rue de Example,Oujda,,Italy,142045.04,Consumer
165,Bob Hernandez,Bob,Hernandez,+212-605-440544,44 Rue de Example,Sale,,UK,18081.91,Small Business
166,David Hernandez,David,Hernandez,+212-750-519902,135 Rue de Example,Rabat,,Italy,174169.62,Small Business
167,David Garcia,David,Garcia,+212-799-276299,20 Rue de Example,Rabat,,USA,181231.58,Consumer
168,Mohamed Brown,Mohamed,Brown,+212-660-207798,38 Rue de Example,Marrakech,,USA,35113.05,Consumer
169,Lina Jones,Lina,Jones,+212-645-910389,161 Rue de Example,Sale,,Portugal,151011.94,Small Business
170,Imane ElAmrani,Imane,ElAmrani,+212-764-766158,160 Rue de Example,Agadir,,UK,30616.0,Consumer
171,Imane Nguyen,Imane,Nguyen,+212-670-720148,15 Rue de Example,Agadir,,France,62426.37,Consumer
172,Alice Garcia,Alice,Garcia,+212-673-180458,166 Rue de Example,Rabat,,Italy,92810.98,Consumer
173,Mohamed Smith,Mohamed,Smith,+212-715-949153,147 Rue de Example,Tangier,,UK,121198.66,Consumer
174,Alice Dubois,Alice,Dubois,+212-626-950360,88 Rue de Example,Rabat,,Spain,8308.85,Small Business
175,Imane Kamal,Imane,Kamal,+212-733-739427,41 Rue de Example,Agadir,,UK,183628.39,Consumer
176,Fatima ElAmrani,Fatima,ElAmrani,+212-613-927564,162 Rue de Example,Agadir,,France,66273.31,Consumer
177,Hassan Nguyen,Hassan,Nguyen,+212-664-858889,169 Rue de Example,Fes,,UK,16759.65,Small Business
178,Fatima Nguyen,Fatima,Nguyen,+212-767-832409,170 Rue de Example,Oujda,,Spain,119210.73,Enterprise
179,Eva Kamal,Eva,Kamal,+212-696-774751,85 Rue de Example,Fes,,France,129381.95,Consumer
180,Fatima Smith,Fatima,Smith,+212-692-423869,47 Rue de Example,Tangier,,UK,189559.82,Consumer
181,David Brown,David,Brown,+212-639-180913,76 Rue de Example,Rabat,,Morocco,132554.88,Enterprise
182,Khadija Brown,Khadija,Brown,+212-752-495019,40 Rue de Example,Fes,,Spain,166353.34,Small Business
183,Carla Dubois,Carla,Dubois,+212-611-530816,94 Rue de Example,Tangier,,Portugal,122313.79,Small Business
184,Imane Martin,Imane,Martin,+212-736-350786,80 Rue de Example,Sale,,USA,73884.27,Enterprise
185,Imane Dubois,Imane,Dubois,+212-796-395459,200 Rue de Example,Oujda,,Italy,193270.5,Small Business
186,Khadija Brown,Khadija,Brown,+212-664-154714,165 Rue de Example,Sale,,UK,111130.88,Consumer
187,John Jones,John,Jones,+212-672-187949,196 Rue de Example,Fes,,Germany,90139.18,Consumer
188,Hassan Jones,Hassan,Jones,+212-656-956375,116 Rue de Example,Agadir,,Morocco,83271.93,Consumer
189,Fatima Martin,Fatima,Martin,+212-698-185569,96 Rue de Example,Tangier,,Morocco,64077.63,Consumer
190,Mohamed Garcia,Mohamed,Garcia,+212-637-244283,10 Rue de Example,Marrakech,,Portugal,139366.36,Consumer
191,Mohamed Dubois,Mohamed,Dubois,+212-714-745239,2 Rue de Example,Rabat,,Morocco,51556.82,Small Business
192,John ElAmrani,John,ElAmrani,+212-735-543814,29 Rue de Example,Marrakech,,USA,60579.66,Consumer
193,Hassan ElAmrani,Hassan,ElAmrani,+212-717-165858,29 Rue de Example,Sale,,Morocco,126575.01,Consumer
194,Mohamed Brown,Mohamed,Brown,+212-674-550089,1 Rue de Example,Agadir,,USA,114347.41,Consumer
195,Lina Jones,Lina,Jones,+212-734-478120,18 Rue de Example,Casablanca,,Italy,174729.62,Consumer
196,Hassan Garcia,Hassan,Garcia,+212-664-883618,5 Rue de Example,Agadir,,France,69288.1,Small Business
197,Lina Jones,Lina,Jones,+212-797-710169,189 Rue de Example,Agadir,,Spain,9344.97,Consumer
198,Lina Brown,Lina,Brown,+212-799-817941,119 Rue de Example,Sale,,Spain,162393.79,Consumer
199,Imane Smith,Imane,Smith,+212-675-311383,12 Rue de Example,Tangier,,Morocco,63461.37,Consumer
200,Hassan Kamal,Hassan,Kamal,+212-721-365618,10 Rue de Example,Tangier,,Germany,71716.35,Small Business
201,Lina Garcia,Lina,Garcia,+212-669-230521,95 Rue de Example,Oujda,,Italy,148789.89,Enterprise
202,Hassan Garcia,Hassan,Garcia,+212-647-620306,178 Rue de Example,Sale,,UK,184899.94,Consumer
203,Bob Hernandez,Bob,Hernandez,+212-620-551524,155 Rue de Example,Fes,,Germany,64581.68,Consumer
204,Lina Nguyen,Lina,Nguyen,+212-678-567576,155 Rue de Example,Oujda,,Spain,138108.08,Consumer
205,Alice Garcia,Alice,Garcia,+212-757-556068,71 Rue de Example,Casablanca,,France,134401.19,Consumer
206,John Brown,John,Brown,+212-607-249715,156 Rue de Example,Sale,,Morocco,25682.89,Consumer
207,Lina Garcia,Lina,Garcia,+212-692-501451,146 Rue de Example,Casablanca,,Spain,135972.88,Enterprise
208,Fatima Dubois,Fatima,Dubois,+212-795-180620,147 Rue de Example,Fes,,UK,79907.79,Small Business
209,David Jones,David,Jones,+212-606-871411,48 Rue de Example,Sale,,Italy,182751.73,Consumer
210,Eva Dubois,Eva,Dubois,+212-654-741599,74 Rue de Example,Sale,,USA,24966.17,Enterprise
211,Imane Brown,Imane,Brown,+212-782-566732,23 Rue de Example,Agadir,,UK,142053.33,Consumer
212,Eva Nguyen,Eva,Nguyen,+212-640-846385,182 Rue de Example,Fes,,UK,101996.77,Consumer
213,David Brown,David,Brown,+212-660-928766,127 Rue de Example,Casablanca,,UK,111027.28,Consumer
214,John Brown,John,Brown,+212-756-190403,17 Rue de Example,Marrakech,,Italy,199919.21,Small Business
215,John Hernandez,John,Hernandez,+212-796-529322,148 Rue de Example,Rabat,,Spain,194489.76,Small Business
216,Imane Dubois,Imane,Dubois,+212-774-642491,89 Rue de Example,Fes,,Spain,153672.44,Consumer
217,John Smith,John,Smith,+212-631-643269,40 Rue de Example,Marrakech,,Spain,32812.41,Enterprise
218,David Garcia,David,Garcia,+212-732-397846,21 Rue de Example,Marrakech,,USA,127193.89,Consumer
219,Carla Nguyen,Carla,Nguyen,+212-757-659392,24 Rue de Example,Fes,,Spain,34654.52,Small Business
220,Khadija Garcia,Khadija,Garcia,+212-744-143195,8 Rue de Example,Rabat,,Morocco,189735.1,Small Business
221,Eva Martin,Eva,Martin,+212-796-699929,107 Rue de Example,Casablanca,,Portugal,177854.88,Consumer
222,Lina Nguyen,Lina,Nguyen,+212-723-356773,176 Rue de Example,Oujda,,Germany,90982.05,Small Business
223,Carla Dubois,Carla,Dubois,+212-706-607774,119 Rue de Example,Tangier,,UK,121528.72,Consumer
224,Mohamed Garcia,Mohamed,Garcia,+212-787-462147,103 Rue de Example,Fes,,UK,103238.54,Consumer
225,David Dubois,David,Dubois,+212-631-380464,116 Rue de Example,Tangier,,Spain,19813.92,Consumer
226,Hassan ElAmrani,Hassan,ElAmrani,+212-707-360330,41 Rue de Example,Agadir,,UK,38371.9,Consumer
227,John Dubois,John,Dubois,+212-727-423528,128 Rue de Example,Casablanca,,France,189073.94,Consumer
228,David Martin,David,Martin,+212-749-470037,13 Rue de Example,Casablanca,,Germany,99231.39,Enterprise
229,Lina Dubois,Lina,Dubois,+212-673-662761,3 Rue de Example,Rabat,,Italy,27220.02,Consumer
230,Fatima Hernandez,Fatima,Hernandez,+212-693-147440,103 Rue de Example,Casablanca,,USA,72823.49,Consumer
231,Hassan Kamal,Hassan,Kamal,+212-715-901535,141 Rue de Example,Marrakech,,France,26168.35,Consumer
232,Fatima Garcia,Fatima,Garcia,+212-742-483366,194 Rue de Example,Fes,,USA,120691.36,Consumer
233,Alice Smith,Alice,Smith,+212-609-243693,183 Rue de Example,Agadir,,Portugal,104106.88,Consumer
234,John Brown,John,Brown,+212-683-742848,82 Rue de Example,Fes,,Italy,198127.84,Small Business
235,Eva ElAmrani,Eva,ElAmrani,+212-686-631958,131 Rue de Example,Sale,,Germany,95241.07,Consumer
236,Fatima Jones,Fatima,Jones,+212-706-712056,79 Rue de Example,Casablanca,,Portugal,53473.32,Small Business
237,Khadija ElAmrani,Khadija,ElAmrani,+212-658-856442,14 Rue de Example,Sale,,Spain,105084.35,Small Business
238,Hassan Brown,Hassan,Brown,+212-774-353961,9 Rue de Example,Rabat,,USA,4278.0,Consumer
239,Carla Hernandez,Carla,Hernandez,+212-776-313795,106 Rue de Example,Sale,,Morocco,141302.16,Consumer
240,John Garcia,John,Garcia,+212-769-601608,135 Rue de Example,Oujda,,UK,191358.76,Consumer
241,John Garcia,John,Garcia,+212-739-471496,174 Rue de Example,Marrakech,,Portugal,38856.7,Consumer
242,John Nguyen,John,Nguyen,+212-657-412071,198 Rue de Example,Marrakech,,USA,138202.86,Consumer
243,Imane Garcia,Imane,Garcia,+212-743-934042,185 Rue de Example,Marrakech,,Germany,24813.88,Small Business
244,Hassan Hernandez,Hassan,Hernandez,+212-688-910616,38 Rue de Example,Marrakech,,Morocco,57882.25,Small Business
245,Fatima Dubois,Fatima,Dubois,+212-767-368900,192 Rue de Example,Sale,,USA,40812.57,Consumer
246,John Nguyen,John,Nguyen,+212-635-214532,158 Rue de Example,Tangier,,USA,10627.7,Enterprise
247,David Martin,David,Martin,+212-613-205065,106 Rue de Example,Agadir,,Portugal,20558.71,Small Business
